Hcom Geo ID,Name,Polygon
1645684,Shinagawa,"POLYGON ((139.73178187841785 35.648299789379308, 139.720945 35.631558, 139.718971 35.626291000000016, 139.71824184130855 35.619000635645925, 139.72313392602535 35.610103917541785, 139.72687460327137 35.603164888242908, 139.74175210571303 35.602746169718714, 139.75265260314947 35.616316484898242, 139.76132150268555 35.648578776308788, 139.73178187841785 35.648299789379308))"
1645685,Shibuya,"POLYGON ((139.684231 35.65006, 139.695475 35.651595, 139.708607 35.642284, 139.715645 35.642667, 139.718483 35.640971, 139.717377 35.637257, 139.727227 35.63724, 139.722603 35.657145, 139.722084 35.658925, 139.721873 35.659802, 139.715302 35.66095, 139.709031 35.664117, 139.701057 35.666418, 139.692227 35.668148, 139.688066 35.66754, 139.684231 35.65006))"
1645686,Shinjuku,"POLYGON ((139.663743 35.672229, 139.69169 35.668186, 139.690618 35.670129, 139.694411 35.679412, 139.697862 35.680852, 139.703616 35.680462, 139.708595 35.681304, 139.713994 35.680369, 139.718753 35.677562, 139.721914 35.67481, 139.721774 35.710064, 139.663778 35.710151, 139.663743 35.672229))"
1645687,Akasaka,"POLYGON ((139.722226 35.666941, 139.730487 35.668363, 139.73818 35.669198, 139.742897 35.670999, 139.752 35.689, 139.722 35.689, 139.722226 35.666941))"
1645688,Asakusa,"POLYGON ((139.790367 35.718657, 139.786532 35.706503, 139.791005 35.706024, 139.795864 35.705265, 139.798457 35.709678, 139.802886 35.714142, 139.807572 35.718606, 139.809497 35.725476, 139.811085 35.733254, 139.815008 35.737012, 139.814489 35.740169, 139.810468 35.741214, 139.802811 35.738898, 139.796451 35.739518, 139.791284 35.741281, 139.790367 35.718657))"
1645689,Ginza,"POLYGON ((139.758623 35.668233, 139.762164 35.666937, 139.763223 35.663804, 139.764423 35.663887, 139.767684 35.666851, 139.767752 35.668016, 139.771817 35.671175, 139.772651 35.67424, 139.771005 35.674602, 139.759778 35.676938, 139.755778 35.670794, 139.759923 35.670912, 139.758623 35.668233))"
1645690,Iidabashi,"POLYGON ((139.74 35.689, 139.759669 35.689823, 139.765881 35.69049, 139.766226 35.693143, 139.768805 35.697134, 139.768299 35.698245, 139.768939 35.705689, 139.74 35.706, 139.74 35.689))"
1645691,Ikebukuro,"POLYGON ((139.700054 35.734689, 139.696547 35.728049, 139.717546 35.719894, 139.730219 35.732338, 139.706674 35.7413, 139.700054 35.734689))"
1645692,Nihonbashi,"POLYGON ((139.757029 35.678017, 139.772685 35.674303, 139.772501 35.672566, 139.78124 35.66902, 139.784426 35.671865, 139.79369 35.68578, 139.788496 35.69477, 139.7874 35.695225, 139.782701 35.696672, 139.772851 35.69702, 139.766785 35.693027, 139.766162 35.69018, 139.760286 35.689531, 139.757029 35.678017))"
1645693,Odaiba,"POLYGON ((139.786156 35.597593, 139.804887 35.627917, 139.794571 35.646589, 139.763 35.628, 139.786156 35.597593))"
1645694,Roppongi,"POLYGON ((139.725203 35.647979, 139.746312 35.645607, 139.748495 35.65202, 139.748566 35.652492, 139.749193 35.657063, 139.752005 35.658052, 139.751972 35.674991, 139.742805 35.670667, 139.738264 35.669061, 139.730982 35.668229, 139.722249 35.666606, 139.722282 35.659678, 139.725203 35.647979))"
1645695,Shiba,"POLYGON ((139.74856 35.652006, 139.746269 35.644991, 139.744591 35.644087, 139.742653 35.641628, 139.760433 35.640724, 139.765736 35.659553, 139.752211 35.660024, 139.752138 35.657839, 139.749323 35.657018, 139.74856 35.652006))"
1645696,Ueno,"POLYGON ((139.769142 35.706193, 139.78636 35.705791, 139.790293 35.718717, 139.790487 35.724967, 139.766767 35.722706, 139.769142 35.706193))"
1689760,Meguro,"POLYGON ((139.714 35.590044, 139.709916 35.596705, 139.713092 35.618582, 139.718971 35.626291, 139.720945 35.631558, 139.717019 35.637, 139.718113 35.640993, 139.715645 35.642667, 139.708607 35.642284, 139.695475 35.651595, 139.684231 35.65006, 139.686441 35.63986, 139.679232 35.62514, 139.661722 35.632186, 139.663525 35.609092, 139.662495 35.603928, 139.684124 35.597717, 139.714 35.590044))"
